,Player,Role,Price,Team,Year,Origin,Retained
786,Robin Minz,Wicket-Keeper,0.65,MI,2025,Indian,No
787,Karn Sharma,Bowler,0.5,MI,2025,Indian,No
788,Krishnan Shrijith,Wicket-Keeper,0.3,MI,2025,Indian,No
789,Raj Bawa,All-Rounder,0.3,MI,2025,Indian,No
790,Ashwani Kumar,Bowler,0.3,MI,2025,Indian,No
791,Vignesh Puthur,All-Rounder,0.3,MI,2025,Indian,No
792,Satyanarayana Raju,Bowler,0.3,MI,2025,Indian,No
793,Bevon Jacobs,Batter,0.3,MI,2025,Overseas,No
794,Arjun Tendulkar,Bowler,0.3,MI,2025,Indian,No
795,Rishabh Pant,Batter,27.0,LSG,2025,Indian,No
796,Nicholas Pooran,Wicket-Keeper,21.0,LSG,2025,Overseas,Yes
797,Ravi Bishnoi,Bowler,11.0,LSG,2025,Indian,Yes
798,Mayank Yadav,Bowler,11.0,LSG,2025,Indian,Yes
799,Avesh Khan,Bowler,9.75,LSG,2025,Indian,No
800,Akash Deep,Bowler,8.0,LSG,2025,Indian,No
801,David Miller,Batter,7.5,LSG,2025,Overseas,No
802,Abdul Samad,All-Rounder,4.2,LSG,2025,Indian,No
803,Mohsin Khan,Bowler,4.0,LSG,2025,Indian,Yes
804,Ayush Badoni,Batter,4.0,LSG,2025,Indian,Yes
805,Mitchell Marsh,All-Rounder,3.4,LSG,2025,Overseas,No
806,Shahbaz Ahmed,All-Rounder,2.4,LSG,2025,Indian,No
807,Aiden Markram,Batter,2.0,LSG,2025,Overseas,No
808,Shamar Joseph,Bowler,0.75,LSG,2025,Overseas,No
809,Matthew Breetzke,Batter,0.75,LSG,2025,Overseas,No
810,M. Siddharth,Bowler,0.75,LSG,2025,Indian,No
811,Rajvardhan Hangargekar,All-Rounder,0.3,LSG,2025,Indian,No
812,Akash Singh,Bowler,0.3,LSG,2025,Indian,No
813,Yuvraj Chaudhary,All-Rounder,0.3,LSG,2025,Indian,No
814,Prince Yadav,Bowler,0.3,LSG,2025,Indian,No
815,Arshin Kulkarni,All-Rounder,0.3,LSG,2025,Indian,No
816,Digvesh Singh,Bowler,0.3,LSG,2025,Indian,No
817,Aryan Juyal,Wicket-Keeper,0.3,LSG,2025,Indian,No
818,Himmat Singh,Batter,0.3,LSG,2025,Indian,No
819,Rashid Khan,Bowler,18.0,GT,2025,Overseas,Yes
820,Shubman Gill,Batter,16.5,GT,2025,Indian,Yes
821,Jos Buttler,Wicket-Keeper,15.75,GT,2025,Overseas,No
822,Mohammed Siraj,Bowler,12.25,GT,2025,Indian,No
823,Kagiso Rabada,Bowler,10.75,GT,2025,Overseas,No
824,Prasidh Krishna,Bowler,9.5,GT,2025,Indian,No
825,Sai Sudharsan,Batter,8.5,GT,2025,Indian,Yes
826,Rahul Tewatia,All-Rounder,4.0,GT,2025,Indian,Yes
827,Shahrukh Khan,All-Rounder,4.0,GT,2025,Indian,Yes
828,Washington Sundar,All-Rounder,3.2,GT,2025,Indian,No
829,Sherfane Rutherford,Batter,2.6,GT,2025,Overseas,No
830,Gerald Coetzee,Bowler,2.4,GT,2025,Overseas,No
831,Sai Kishore,All-Rounder,2.0,GT,2025,Indian,No
832,Glenn Phillips,Batter,2.0,GT,2025,Overseas,No
833,Mahipal Lomror,All-Rounder,1.7,GT,2025,Indian,No
834,Arshad Khan,All-Rounder,1.3,GT,2025,Indian,No
835,Gurnoor Brar,Bowler,1.3,GT,2025,Indian,No
836,Karim Janat,All-Rounder,0.75,GT,2025,Overseas,No
837,Ishant Sharma,Bowler,0.75,GT,2025,Indian,No
838,Jayant Yadav,All-Rounder,0.75,GT,2025,Indian,No
839,Kumar Kushagra,Wicket-Keeper,0.65,GT,2025,Indian,No
840,Nishant Sindhu,All-Rounder,0.3,GT,2025,Indian,No
841,Manav Suthar,Bowler,0.3,GT,2025,Indian,No
842,Anuj Rawat,Wicket-Keeper,0.3,GT,2025,Indian,No
843,Kulwant Khejroliya,Bowler,0.3,GT,2025,Indian,No
844,Venkatesh Iyer,All-Rounder,23.75,KKR,2025,Indian,No
845,Rinku Singh,Batter,13.0,KKR,2025,Indian,Yes
846,Varun Chakaravarthy,Bowler,12.0,KKR,2025,Indian,Yes
847,Sunil Narine,All-Rounder,12.0,KKR,2025,Overseas,Yes
848,Andre Russell,All-Rounder,12.0,KKR,2025,Overseas,Yes
849,Anrich Nortje,Bowler,6.5,KKR,2025,Overseas,No
850,Ramandeep Singh,All-Rounder,4.0,KKR,2025,Indian,Yes
851,Harshit Rana,Bowler,4.0,KKR,2025,Indian,Yes
852,Quinton de Kock,Wicket-Keeper,3.6,KKR,2025,Overseas,No
853,Angkrish Raghuvanshi,Batter,3.0,KKR,2025,Indian,No
854,Spencer Johnson,Bowler,2.8,KKR,2025,Overseas,No
855,Moeen Ali,All-Rounder,2.0,KKR,2025,Overseas,No
856,Rahmanullah Gurbaz,Wicket-Keeper,2.0,KKR,2025,Overseas,No
857,Vaibhav Arora,Bowler,1.8,KKR,2025,Indian,No
858,Rovman Powell,Batter,1.5,KKR,2025,Overseas,No
859,Ajinkya Rahane,Batter,1.5,KKR,2025,Indian,No
860,Manish Pandey,Batter,0.75,KKR,2025,Indian,No
861,Umran Malik,Bowler,0.75,KKR,2025,Indian,No
862,Anukul Roy,All-Rounder,0.4,KKR,2025,Indian,No
863,Luvnith Sisodia,Wicket-Keeper,0.3,KKR,2025,Indian,No
864,Mayank Markande,Bowler,0.3,KKR,2025,Indian,No
865,Shreyas Iyer,Batter,26.75,PBKS,2025,Indian,No
866,Yuzvendra Chahal,Bowler,18.0,PBKS,2025,Indian,No
867,Arshdeep Singh,Bowler,18.0,PBKS,2025,Indian,No
868,Marcus Stoinis,All-Rounder,11.0,PBKS,2025,Overseas,No
869,Marco Jansen,All-Rounder,7.0,PBKS,2025,Overseas,No
870,Shashank Singh,Batter,5.5,PBKS,2025,Indian,Yes
871,Nehal Wadhera,Batter,4.2,PBKS,2025,Indian,No
872,Glenn Maxwell,All-Rounder,4.2,PBKS,2025,Overseas,No
873,Prabhsimran Singh,Wicket-Keeper,4.0,PBKS,2025,Indian,Yes
874,Priyansh Arya,All-Rounder,3.8,PBKS,2025,Indian,No
875,Josh Inglis,Wicket-Keeper,2.6,PBKS,2025,Overseas,No
876,Azmatullah Omarzai,All-Rounder,2.4,PBKS,2025,Overseas,No
877,Lockie Ferguson,Bowler,2.0,PBKS,2025,Overseas,No
878,Vijaykumar Vyshak,Bowler,1.8,PBKS,2025,Indian,No
879,Yash Thakur,Bowler,1.6,PBKS,2025,Indian,No
880,Harpreet Brar,All-Rounder,1.5,PBKS,2025,Indian,No
881,Aaron Hardie,All-Rounder,1.25,PBKS,2025,Overseas,No
882,Vishnu Vinod,Wicket-Keeper,0.95,PBKS,2025,Indian,No
883,Xavier Bartlett,Bowler,0.8,PBKS,2025,Overseas,No
884,Kuldeep Sen,Bowler,0.8,PBKS,2025,Indian,No
885,Harnoor Singh,Batter,0.3,PBKS,2025,Indian,No
886,Suryansh Shedge,All-Rounder,0.3,PBKS,2025,Indian,No
887,Pyla Avinash,Batter,0.3,PBKS,2025,Indian,No
888,Musheer Khan,All-Rounder,0.3,PBKS,2025,Indian,No
889,Pravin Dubey,All-Rounder,0.3,PBKS,2025,Indian,No
890,Sanju Samson,Wicket-Keeper,18.0,RR,2025,Indian,Yes
891,Yashasvi Jaiswal,Batter,18.0,RR,2025,Indian,Yes
892,Riyan Parag,All-Rounder,14.0,RR,2025,Indian,Yes
893,Dhruv Jurel,Wicket-Keeper,14.0,RR,2025,Indian,Yes
894,Jofra Archer,Bowler,12.5,RR,2025,Overseas,No
895,Shimron Hetmyer,Batter,11.0,RR,2025,Overseas,Yes
896,Tushar Deshpande,Bowler,6.5,RR,2025,Indian,No
897,Wanindu Hasaranga,Bowler,5.25,RR,2025,Overseas,No
898,Maheesh Theekshana,Bowler,4.4,RR,2025,Overseas,No
899,Nitish Rana,All-Rounder,4.2,RR,2025,Indian,No
900,Sandeep Sharma,Bowler,4.0,RR,2025,Indian,Yes
901,Fazalhaq Farooqi,Bowler,2.0,RR,2025,Overseas,No
902,Kwena Maphaka,Bowler,1.5,RR,2025,Overseas,No
903,Akash Madhwal,Bowler,1.2,RR,2025,Indian,No
904,Vaibhav Suryavanshi,Batter,1.1,RR,2025,Indian,No
905,Shubham Dubey,Batter,0.8,RR,2025,Indian,No
906,Yudhvir Charak,All-Rounder,0.35,RR,2025,Indian,No
907,Ashok Sharma,Bowler,0.3,RR,2025,Indian,No
908,Kumar Kartikeya,Bowler,0.3,RR,2025,Indian,No
909,Kunal Singh Rathore,Wicket-Keeper,0.3,RR,2025,Indian,No
910,Virat Kohli,Batter,21.0,RCB,2025,Indian,Yes
911,Josh Hazlewood,Bowler,12.5,RCB,2025,Overseas,No
912,Phil Salt,Wicket-Keeper,11.5,RCB,2025,Overseas,No
913,Jitesh Sharma,Wicket-Keeper,11.0,RCB,2025,Indian,No
914,Rajat Patidar,Batter,11.0,RCB,2025,Indian,Yes
915,Bhuvneshwar Kumar,Bowler,10.75,RCB,2025,Indian,No
916,Liam Livingstone,All-Rounder,8.75,RCB,2025,Overseas,No
917,Rasikh Dar,Bowler,6.0,RCB,2025,Indian,No
918,Krunal Pandya,All-Rounder,5.75,RCB,2025,Indian,No
919,Yash Dayal,Bowler,5.0,RCB,2025,Indian,Yes
920,Tim David,All-Rounder,3.0,RCB,2025,Overseas,No
921,Suyash Sharma,Bowler,2.6,RCB,2025,Indian,No
922,Jacob Bethell,All-Rounder,2.6,RCB,2025,Overseas,No
923,Devdutt Padikkal,Batter,2.0,RCB,2025,Indian,No
924,Nuwan Thushara,Bowler,1.6,RCB,2025,Overseas,No
925,Romario Shepherd,All-Rounder,1.5,RCB,2025,Overseas,No
926,Lungi Ngidi,Bowler,1.0,RCB,2025,Overseas,No
927,Swapnil Singh,All-Rounder,0.5,RCB,2025,Indian,No
928,Manoj Bhandage,All-Rounder,0.3,RCB,2025,Indian,No
929,Abhinandan Singh,Bowler,0.3,RCB,2025,Indian,No
930,Mohit Rathee,Bowler,0.3,RCB,2025,Indian,No
931,Swastik Chikara,Batter,0.3,RCB,2025,Indian,No
932,Heinrich Klaasen,Wicket-Keeper,23.0,SRH,2025,Overseas,Yes
933,Pat Cummins,All-Rounder,18.0,SRH,2025,Overseas,Yes
934,Travis Head,Batter,14.0,SRH,2025,Overseas,Yes
935,Abhishek Sharma,All-Rounder,14.0,SRH,2025,Indian,Yes
936,Ishan Kishan,Wicket-Keeper,11.25,SRH,2025,Indian,No
937,Mohammed Shami,Bowler,10.0,SRH,2025,Indian,No
938,Harshal Patel,All-Rounder,8.0,SRH,2025,Indian,No
939,Nitish Kumar Reddy,Batter,6.0,SRH,2025,Indian,Yes
940,Abhinav Manohar,Batter,3.2,SRH,2025,Indian,No
941,Rahul Chahar,Bowler,3.2,SRH,2025,Indian,No
942,Adam Zampa,Bowler,2.4,SRH,2025,Overseas,No
943,Simarjeet Singh,Bowler,1.5,SRH,2025,Indian,No
944,Eshan Malinga,Bowler,1.2,SRH,2025,Overseas,No
945,Brydon Carse,All-Rounder,1.0,SRH,2025,Overseas,No
946,Jaydev Unadkat,Bowler,1.0,SRH,2025,Indian,No
947,Kamindu Mendis,All-Rounder,0.75,SRH,2025,Overseas,No
948,Zeeshan Ansari,Bowler,0.4,SRH,2025,Indian,No
949,Aniket Verma,Batter,0.3,SRH,2025,Indian,No
950,Atharva Taide,Batter,0.3,SRH,2025,Indian,No
951,Sachin Baby,Batter,0.3,SRH,2025,Indian,No
