,Player,Role,Price,Team,Year,Origin,Retained
150,Rahul Chahar,Bowler,5.25,PBKS,2022,Indian,No
151,Arshdeep Singh,Bowler,4.0,PBKS,2022,Indian,Yes
152,Harpreet Brar,All-Rounder,3.8,PBKS,2022,Indian,No
153,Vaibhav Arora,Bowler,2.0,PBKS,2022,Indian,No
154,Raj Bawa,All-Rounder,2.0,PBKS,2022,Indian,No
155,Nathan Ellis,Bowler,0.75,PBKS,2022,Overseas,No
156,Prabhsimran Singh,Wicket-Keeper,0.6,PBKS,2022,Indian,No
157,Rishi Dhawan,All-Rounder,0.55,PBKS,2022,Indian,No
158,Bhanuka Rajapaksa,Batsman,0.5,PBKS,2022,Overseas,No
159,Sandeep Sharma,Bowler,0.5,PBKS,2022,Indian,No
160,Benny Howell,All-Rounder,0.4,PBKS,2022,Overseas,No
161,Ishan Porel,Bowler,0.25,PBKS,2022,Indian,No
162,Prerak Mankad,All-Rounder,0.2,PBKS,2022,Indian,No
163,Atharva Taide,All-Rounder,0.2,PBKS,2022,Indian,No
164,Ansh Patel,All-Rounder,0.2,PBKS,2022,Indian,No
165,Jitesh Sharma,Wicket-Keeper,0.2,PBKS,2022,Indian,No
166,Writtick Chatterjee,All-Rounder,0.2,PBKS,2022,Indian,No
167,Baltej Singh,Bowler,0.2,PBKS,2022,Indian,No
168,Sanju Samson,Wicket-Keeper,14.0,RR,2022,Indian,Yes
169,Prasidh Krishna,Bowler,10.0,RR,2022,Indian,No
170,Jos Buttler,Wicket-Keeper,10.0,RR,2022,Overseas,Yes
171,Shimron Hetmyer,Batsman,8.5,RR,2022,Overseas,No
172,Trent Boult,Bowler,8.0,RR,2022,Overseas,No
173,Devdutt Padikkal,Batsman,7.75,RR,2022,Indian,No
174,Yuzvendra Chahal,Bowler,6.5,RR,2022,Indian,No
175,Ravichandran Ashwin,All-Rounder,5.0,RR,2022,Indian,No
176,Yashasvi Jaiswal,Batsman,4.0,RR,2022,Indian,Yes
177,Riyan Parag,All-Rounder,3.8,RR,2022,Indian,No
178,Navdeep Saini,Bowler,2.6,RR,2022,Indian,No
