,Player,Role,Price,Team,Year,Origin,Retained,C/U/A
171,Prasidh Krishna,Bowler,10.0,RR,2022,Indian,No,Capped
172,Jos Buttler,Wicket-Keeper,10.0,RR,2022,Overseas,Yes,Capped
173,Shimron Hetmyer,Batsman,8.5,RR,2022,Overseas,No,Capped
174,Trent Boult,Bowler,8.0,RR,2022,Overseas,No,Capped
175,Devdutt Padikkal,Batsman,7.75,RR,2022,Indian,No,Capped
176,Yuzvendra Chahal,Bowler,6.5,RR,2022,Indian,No,Capped
177,Ravichandran Ashwin,All-Rounder,5.0,RR,2022,Indian,No,Capped
178,Yashasvi Jaiswal,Batsman,4.0,RR,2022,Indian,Yes,Uncapped
179,Riyan Parag,All-Rounder,3.8,RR,2022,Indian,No,Uncapped
180,Navdeep Saini,Bowler,2.6,RR,2022,Indian,No,Capped
181,Nathan Coulter-Nile,Bowler,2.0,RR,2022,Overseas,No,Capped
182,James Neesham,All-Rounder,1.5,RR,2022,Overseas,No,Capped
183,Karun Nair,Batsman,1.4,RR,2022,Indian,No,Capped
184,Rassie van der Dussen,Batsman,1.0,RR,2022,Overseas,No,Capped
185,Obed McCoy,Bowler,0.75,RR,2022,Overseas,No,Capped
186,Daryl Mitchell,All-Rounder,0.75,RR,2022,Overseas,No,Capped
187,KC Cariappa,Bowler,0.3,RR,2022,Indian,No,Uncapped
188,Tejas Baroka,Bowler,0.2,RR,2022,Indian,No,Uncapped
189,Kuldip Yadav,Bowler,0.2,RR,2022,Indian,No,Uncapped
190,Dhruv Jurel,Wicket-Keeper,0.2,RR,2022,Indian,No,Uncapped
191,Kuldeep Sen,Bowler,0.2,RR,2022,Indian,No,Uncapped
192,Shubham Garhwal,All-Rounder,0.2,RR,2022,Indian,No,Uncapped
193,Anunay Singh,All-Rounder,0.2,RR,2022,Indian,No,Uncapped
194,Virat Kohli,Batsman,15.0,RCB,2022,Indian,Yes,Capped
195,Glenn Maxwell,All-Rounder,11.0,RCB,2022,Overseas,Yes,Capped
196,Harshal Patel,All-Rounder,10.75,RCB,2022,Indian,No,Capped
197,Wanindu Hasaranga,All-Rounder,10.75,RCB,2022,Overseas,No,Capped
198,Josh Hazlewood,Bowler,7.75,RCB,2022,Overseas,No,Capped
199,Faf du Plessis,Batsman,7.0,RCB,2022,Overseas,No,Capped
200,Mohammed Siraj,Bowler,7.0,RCB,2022,Indian,Yes,Capped
201,Dinesh Karthik,Wicket-Keeper,5.5,RCB,2022,Indian,No,Capped
202,Anuj Rawat,Wicket-Keeper,3.4,RCB,2022,Indian,No,Uncapped
203,Shahbaz Ahmed,All-Rounder,2.4,RCB,2022,Indian,No,Uncapped
204,David Willey,All-Rounder,2.0,RCB,2022,Overseas,No,Capped
205,Sherfane Rutherford,All-Rounder,1.0,RCB,2022,Overseas,No,Capped
206,Mahipal Lomror,All-Rounder,0.95,RCB,2022,Indian,No,Uncapped
207,Finn Allen,Batsman,0.8,RCB,2022,Overseas,No,Capped
208,Jason Behrendorff,Bowler,0.75,RCB,2022,Overseas,No,Capped
209,Siddarth Kaul,Bowler,0.75,RCB,2022,Indian,No,Capped
210,Karn Sharma,Bowler,0.5,RCB,2022,Indian,No,Capped
211,Suyash Prabhudessai,All-Rounder,0.3,RCB,2022,Indian,No,Uncapped
212,Chama Milind,Bowler,0.25,RCB,2022,Indian,No,Uncapped
213,Aneeshwar Gautam,All-Rounder,0.2,RCB,2022,Indian,No,Uncapped
214,Akash Deep,Bowler,0.2,RCB,2022,Indian,No,Uncapped
215,Luvnith Sisodia,Wicket-Keeper,0.2,RCB,2022,Indian,No,Uncapped
216,Kane Williamson,Batsman,14.0,SRH,2022,Overseas,Yes,Capped
217,Nicholas Pooran,Wicket-Keeper,10.75,SRH,2022,Overseas,No,Capped
218,Washington Sundar,All-Rounder,8.75,SRH,2022,Indian,No,Capped
219,Rahul Tripathi,Batsman,8.5,SRH,2022,Indian,No,Uncapped
220,Romario Shepherd,All-Rounder,7.75,SRH,2022,Overseas,No,Capped
221,Abhishek Sharma,All-Rounder,6.5,SRH,2022,Indian,No,Uncapped
222,Bhuvneshwar Kumar,Bowler,4.2,SRH,2022,Indian,No,Capped
223,Marco Jansen,All-Rounder,4.2,SRH,2022,Overseas,No,Capped
224,Umran Malik,Bowler,4.0,SRH,2022,Indian,Yes,Uncapped
225,Abdul Samad,Batsman,4.0,SRH,2022,Indian,Yes,Uncapped
226,T Natarajan,Bowler,4.0,SRH,2022,Indian,No,Capped
227,Kartik Tyagi,Bowler,4.0,SRH,2022,Indian,No,Uncapped
228,Aiden Markram,Batsman,2.6,SRH,2022,Overseas,No,Capped
229,Sean Abbott,Bowler,2.4,SRH,2022,Overseas,No,Capped
230,Glenn Phillips,Wicket-Keeper,1.5,SRH,2022,Overseas,No,Capped
231,Shreyas Gopal,Bowler,0.75,SRH,2022,Indian,No,Uncapped
232,Fazalhaq Farooqi,Bowler,0.5,SRH,2022,Overseas,No,Capped
233,Vishnu Vinod,Wicket-Keeper,0.5,SRH,2022,Indian,No,Uncapped
234,Priyam Garg,Batsman,0.2,SRH,2022,Indian,No,Uncapped
235,Saurabh Dubey,Bowler,0.2,SRH,2022,Indian,No,Uncapped
236,Jagadeesha Suchith,Bowler,0.2,SRH,2022,Indian,No,Uncapped
237,Shashank Singh,All-Rounder,0.2,SRH,2022,Indian,No,Uncapped
238,Ravikumar Samarth,Batsman,0.2,SRH,2022,Indian,No,Uncapped
0,Ben Stokes,All-Rounder,16.25,CSK,2023,Overseas,No,Capped
1,Ravindra Jadeja,All-Rounder,16.0,CSK,2023,Indian,Yes,Capped
2,Deepak Chahar,Bowler,14.0,CSK,2023,Indian,Yes,Capped
3,MS Dhoni,Wicket-Keeper,12.0,CSK,2023,Indian,Yes,Capped
4,Moeen Ali,All-Rounder,8.0,CSK,2023,Overseas,Yes,Capped
5,Ambati Rayudu,Batter,6.75,CSK,2023,Indian,Yes,Capped
6,Ruturaj Gaikwad,Batter,6.0,CSK,2023,Indian,Yes,Capped
7,Shivam Dube,All-Rounder,4.0,CSK,2023,Indian,Yes,Capped
8,Mitchell Santner,All-Rounder,1.9,CSK,2023,Overseas,Yes,Capped
9,Rajvardhan Hangargekar,Bowler,1.5,CSK,2023,Indian,Yes,Uncapped
10,Prashant Solanki,Bowler,1.2,CSK,2023,Indian,Yes,Uncapped
11,Kyle Jamieson,Bowler,1.0,CSK,2023,Overseas,No,Capped
12,Devon Conway,Batter,1.0,CSK,2023,Overseas,Yes,Capped
13,Maheesh Theekshana,Bowler,0.7,CSK,2023,Overseas,Yes,Capped
14,Nishant Sindhu,All-Rounder,0.6,CSK,2023,Indian,No,Uncapped
15,Ajinkya Rahane,Batter,0.5,CSK,2023,Indian,No,Capped
16,Dwaine Pretorius,All-Rounder,0.5,CSK,2023,Overseas,Yes,Capped
17,Matheesha Pathirana,Bowler,0.2,CSK,2023,Overseas,Yes,Capped
18,Mukesh Choudhary,Bowler,0.2,CSK,2023,Indian,Yes,Uncapped
19,Shaik Rasheed,Batter,0.2,CSK,2023,Indian,No,Uncapped
20,Simarjeet Singh,Bowler,0.2,CSK,2023,Indian,Yes,Uncapped
21,Subhranshu Senapati,Batter,0.2,CSK,2023,Indian,Yes,Uncapped
22,Bhagath Varma,All-Rounder,0.2,CSK,2023,Indian,No,Uncapped
23,Ajay Mandal,All-Rounder,0.2,CSK,2023,Indian,No,Uncapped
24,Tushar Deshpande,Bowler,0.2,CSK,2023,Indian,Yes,Uncapped
25,Rishabh Pant,Wicket-Keeper,16.0,DC,2023,Indian,Yes,Capped
26,Axar Patel,All-Rounder,12.0,DC,2023,Indian,Yes,Capped
27,Prithvi Shaw,Batter,8.0,DC,2023,Indian,Yes,Capped
28,Mitchell Marsh,All-Rounder,6.5,DC,2023,Overseas,Yes,Capped
29,Anrich Nortje,Bowler,6.5,DC,2023,Overseas,Yes,Capped
30,David Warner,Batter,6.25,DC,2023,Overseas,Yes,Capped
31,Mukesh Kumar,Bowler,5.5,DC,2023,Indian,No,Uncapped
32,Khaleel Ahmed,Bowler,5.25,DC,2023,Indian,Yes,Capped
33,Rilee Rossouw,Batter,4.6,DC,2023,Overseas,No,Capped
34,Chetan Sakariya,Bowler,4.2,DC,2023,Indian,Yes,Capped
35,Rovman Powell,Batter,2.8,DC,2023,Overseas,Yes,Capped
36,Manish Pandey,Batter,2.4,DC,2023,Indian,No,Capped
37,Mustafizur Rahman,Bowler,2.0,DC,2023,Overseas,Yes,Capped
38,Kuldeep Yadav,Bowler,2.0,DC,2023,Indian,Yes,Capped
39,Philip Salt,Wicket-Keeper,2.0,DC,2023,Overseas,No,Capped
40,Kamlesh Nagarkoti,Bowler,1.1,DC,2023,Indian,Yes,Uncapped
41,Lalit Yadav,All-Rounder,0.65,DC,2023,Indian,Yes,Uncapped
42,Ishant Sharma,Bowler,0.5,DC,2023,Indian,No,Capped
43,Lungi Ngidi,Bowler,0.5,DC,2023,Overseas,Yes,Capped
44,Pravin Dubey,Bowler,0.5,DC,2023,Indian,Yes,Uncapped
45,Yash Dhull,Batter,0.5,DC,2023,Indian,Yes,Uncapped
46,Ripal Patel,Batter,0.2,DC,2023,Indian,Yes,Uncapped
47,Aman Khan,All-Rounder,0.2,DC,2023,Indian,Yes,Uncapped
48,Vicky Ostwal,Bowler,0.2,DC,2023,Indian,Yes,Uncapped
49,Sarfaraz Khan,Batter,0.2,DC,2023,Indian,Yes,Uncapped
50,Cameron Green,All-Rounder,17.5,MI,2023,Overseas,No,Capped
51,Rohit Sharma,Batter,16.0,MI,2023,Indian,Yes,Capped
52,Ishan Kishan,Wicket-Keeper,15.25,MI,2023,Indian,Yes,Capped
53,Jasprit Bumrah,Bowler,12.0,MI,2023,Indian,Yes,Capped
54,Tim David,Batter,8.25,MI,2023,Overseas,Yes,Capped
55,Jofra Archer,Bowler,8.0,MI,2023,Overseas,Yes,Capped
56,Suryakumar Yadav,Batter,8.0,MI,2023,Indian,Yes,Capped
57,Dewald Brevis,All-Rounder,3.0,MI,2023,Overseas,Yes,Capped
58,Tilak Varma,Batter,1.7,MI,2023,Indian,Yes,Uncapped
59,Jhye Richardson,Bowler,1.5,MI,2023,Overseas,No,Capped
60,Jason Behrendorff,Bowler,0.75,MI,2023,Overseas,Yes,Capped
61,Piyush Chawla,Bowler,0.5,MI,2023,Indian,No,Capped
62,Arjun Tendulkar,Bowler,0.3,MI,2023,Indian,Yes,Uncapped
63,Kumar Kartikeya,Bowler,0.2,MI,2023,Indian,Yes,Uncapped
64,Duan Jansen,Bowler,0.2,MI,2023,Overseas,No,Uncapped
65,Arshad Khan,Bowler,0.2,MI,2023,Indian,Yes,Uncapped
66,Hrithik Shokeen,Bowler,0.2,MI,2023,Indian,Yes,Uncapped
67,Akash Madhwal,Bowler,0.2,MI,2023,Indian,Yes,Uncapped
68,Raghav Goyal,Bowler,0.2,MI,2023,Indian,No,Uncapped
69,Tristan Stubbs,Batter,0.2,MI,2023,Overseas,Yes,Capped
70,Nehal Wadhera,All-Rounder,0.2,MI,2023,Indian,No,Uncapped
71,Shams Mulani,All-Rounder,0.2,MI,2023,Indian,No,Uncapped
72,Ramandeep Singh,Batter,0.2,MI,2023,Indian,Yes,Uncapped
73,Vishnu Vinod,Wicket-Keeper,0.2,MI,2023,Indian,No,Uncapped
74,KL Rahul,Batter,17.0,LSG,2023,Indian,Yes,Capped
75,Nicholas Pooran,Wicket-Keeper,16.0,LSG,2023,Overseas,No,Capped
76,Avesh Khan,Bowler,10.0,LSG,2023,Indian,Yes,Capped
77,Marcus Stoinis,All-Rounder,10.0,LSG,2023,Overseas,Yes,Capped
78,Krunal Pandya,All-Rounder,8.25,LSG,2023,Indian,Yes,Capped
79,Mark Wood,Bowler,7.5,LSG,2023,Overseas,Yes,Capped
80,Quinton de Kock,Wicket-Keeper,6.75,LSG,2023,Overseas,Yes,Capped
81,Deepak Hooda,All-Rounder,5.75,LSG,2023,Indian,Yes,Capped
82,Ravi Bishnoi,Bowler,4.0,LSG,2023,Indian,Yes,Capped
83,Krishnappa Gowtham,All-Rounder,0.9,LSG,2023,Indian,Yes,Capped
84,Daniel Sams,All-Rounder,0.75,LSG,2023,Overseas,No,Capped
85,Amit Mishra,Bowler,0.5,LSG,2023,Indian,No,Capped
86,Jaydev Unadkat,Bowler,0.5,LSG,2023,Indian,No,Capped
87,Kyle Mayers,Batter,0.5,LSG,2023,Overseas,Yes,Capped
88,Naveen-ul-Haq,Bowler,0.5,LSG,2023,Overseas,No,Capped
89,Romario Shepherd,All-Rounder,0.5,LSG,2023,Overseas,No,Capped
90,Yash Thakur,Bowler,0.45,LSG,2023,Indian,No,Uncapped
91,Mohsin Khan,Bowler,0.2,LSG,2023,Indian,Yes,Uncapped
92,Ayush Badoni,Batter,0.2,LSG,2023,Indian,Yes,Uncapped
93,Karan Sharma,All-Rounder,0.2,LSG,2023,Indian,Yes,Uncapped
94,Yudhvir Singh,All-Rounder,0.2,LSG,2023,Indian,No,Uncapped
95,Mayank Yadav,Bowler,0.2,LSG,2023,Indian,Yes,Uncapped
96,Prerak Mankad,All-Rounder,0.2,LSG,2023,Indian,No,Uncapped
97,Swapnil Singh,All-Rounder,0.2,LSG,2023,Indian,No,Uncapped
98,Manan Vohra,Batter,0.2,LSG,2023,Indian,Yes,Uncapped
99,Hardik Pandya,All-Rounder,15.0,GT,2023,Indian,Yes,Capped
100,Rashid Khan,Bowler,15.0,GT,2023,Overseas,Yes,Capped
