,Player,Role,Price,Team,Year,Origin,Retained,C/U/A
142,Baba Indrajith,Wicket-Keeper,0.2,KKR,2022,Indian,No,Uncapped
143,Mayank Agarwal,Batsman,12.0,PBKS,2022,Indian,Yes,Capped
144,Liam Livingstone,All-Rounder,11.5,PBKS,2022,Overseas,No,Capped
145,Kagiso Rabada,Bowler,9.25,PBKS,2022,Overseas,No,Capped
146,Shahrukh Khan,All-Rounder,9.0,PBKS,2022,Indian,No,Uncapped
147,Shikhar Dhawan,Batsman,8.25,PBKS,2022,Indian,No,Capped
148,Jonny Bairstow,Wicket-Keeper,6.75,PBKS,2022,Overseas,No,Capped
149,Odean Smith,All-Rounder,6.0,PBKS,2022,Overseas,No,Capped
150,Rahul Chahar,Bowler,5.25,PBKS,2022,Indian,No,Capped
151,Arshdeep Singh,Bowler,4.0,PBKS,2022,Indian,Yes,Uncapped
152,Harpreet Brar,All-Rounder,3.8,PBKS,2022,Indian,No,Uncapped
153,Vaibhav Arora,Bowler,2.0,PBKS,2022,Indian,No,Uncapped
154,Raj Bawa,All-Rounder,2.0,PBKS,2022,Indian,No,Uncapped
155,Nathan Ellis,Bowler,0.75,PBKS,2022,Overseas,No,Capped
156,Prabhsimran Singh,Wicket-Keeper,0.6,PBKS,2022,Indian,No,Uncapped
157,Rishi Dhawan,All-Rounder,0.55,PBKS,2022,Indian,No,Capped
158,Bhanuka Rajapaksa,Batsman,0.5,PBKS,2022,Overseas,No,Capped
159,Sandeep Sharma,Bowler,0.5,PBKS,2022,Indian,No,Capped
160,Benny Howell,All-Rounder,0.4,PBKS,2022,Overseas,No,Uncapped
161,Ishan Porel,Bowler,0.25,PBKS,2022,Indian,No,Uncapped
162,Prerak Mankad,All-Rounder,0.2,PBKS,2022,Indian,No,Uncapped
163,Atharva Taide,All-Rounder,0.2,PBKS,2022,Indian,No,Uncapped
164,Ansh Patel,All-Rounder,0.2,PBKS,2022,Indian,No,Uncapped
165,Jitesh Sharma,Wicket-Keeper,0.2,PBKS,2022,Indian,No,Uncapped
166,Writtick Chatterjee,All-Rounder,0.2,PBKS,2022,Indian,No,Uncapped
167,Baltej Singh,Bowler,0.2,PBKS,2022,Indian,No,Uncapped
168,Sanju Samson,Wicket-Keeper,14.0,RR,2022,Indian,Yes,Capped
169,Prasidh Krishna,Bowler,10.0,RR,2022,Indian,No,Capped
170,Jos Buttler,Wicket-Keeper,10.0,RR,2022,Overseas,Yes,Capped
171,Shimron Hetmyer,Batsman,8.5,RR,2022,Overseas,No,Capped
172,Trent Boult,Bowler,8.0,RR,2022,Overseas,No,Capped
173,Devdutt Padikkal,Batsman,7.75,RR,2022,Indian,No,Capped
174,Yuzvendra Chahal,Bowler,6.5,RR,2022,Indian,No,Capped
175,Ravichandran Ashwin,All-Rounder,5.0,RR,2022,Indian,No,Capped
176,Yashasvi Jaiswal,Batsman,4.0,RR,2022,Indian,Yes,Uncapped
177,Riyan Parag,All-Rounder,3.8,RR,2022,Indian,No,Uncapped
178,Navdeep Saini,Bowler,2.6,RR,2022,Indian,No,Capped
179,Nathan Coulter-Nile,Bowler,2.0,RR,2022,Overseas,No,Capped
180,James Neesham,All-Rounder,1.5,RR,2022,Overseas,No,Capped
181,Karun Nair,Batsman,1.4,RR,2022,Indian,No,Capped
182,Rassie van der Dussen,Batsman,1.0,RR,2022,Overseas,No,Capped
183,Obed McCoy,Bowler,0.75,RR,2022,Overseas,No,Capped
184,Daryl Mitchell,All-Rounder,0.75,RR,2022,Overseas,No,Capped
185,KC Cariappa,Bowler,0.3,RR,2022,Indian,No,Uncapped
186,Tejas Baroka,Bowler,0.2,RR,2022,Indian,No,Uncapped
187,Kuldip Yadav,Bowler,0.2,RR,2022,Indian,No,Uncapped
188,Dhruv Jurel,Wicket-Keeper,0.2,RR,2022,Indian,No,Uncapped
189,Kuldeep Sen,Bowler,0.2,RR,2022,Indian,No,Uncapped
190,Shubham Garhwal,All-Rounder,0.2,RR,2022,Indian,No,Uncapped
191,Anunay Singh,All-Rounder,0.2,RR,2022,Indian,No,Uncapped
192,Virat Kohli,Batsman,15.0,RCB,2022,Indian,Yes,Capped
193,Glenn Maxwell,All-Rounder,11.0,RCB,2022,Overseas,Yes,Capped
194,Harshal Patel,All-Rounder,10.75,RCB,2022,Indian,No,Capped
195,Wanindu Hasaranga,All-Rounder,10.75,RCB,2022,Overseas,No,Capped
196,Josh Hazlewood,Bowler,7.75,RCB,2022,Overseas,No,Capped
197,Faf du Plessis,Batsman,7.0,RCB,2022,Overseas,No,Capped
198,Mohammed Siraj,Bowler,7.0,RCB,2022,Indian,Yes,Capped
199,Dinesh Karthik,Wicket-Keeper,5.5,RCB,2022,Indian,No,Capped
200,Anuj Rawat,Wicket-Keeper,3.4,RCB,2022,Indian,No,Uncapped
201,Shahbaz Ahmed,All-Rounder,2.4,RCB,2022,Indian,No,Uncapped
202,David Willey,All-Rounder,2.0,RCB,2022,Overseas,No,Capped
203,Sherfane Rutherford,All-Rounder,1.0,RCB,2022,Overseas,No,Capped
204,Mahipal Lomror,All-Rounder,0.95,RCB,2022,Indian,No,Uncapped
205,Finn Allen,Batsman,0.8,RCB,2022,Overseas,No,Capped
206,Jason Behrendorff,Bowler,0.75,RCB,2022,Overseas,No,Capped
207,Siddarth Kaul,Bowler,0.75,RCB,2022,Indian,No,Capped
208,Karn Sharma,Bowler,0.5,RCB,2022,Indian,No,Capped
209,Suyash Prabhudessai,All-Rounder,0.3,RCB,2022,Indian,No,Uncapped
210,Chama Milind,Bowler,0.25,RCB,2022,Indian,No,Uncapped
211,Aneeshwar Gautam,All-Rounder,0.2,RCB,2022,Indian,No,Uncapped
