Player Name,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
Harpreet Singh,India,31,BATSMAN,LHB,RIGHT ARM Medium,Uncapped,20
Atharva Taide,India,22,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Mohit Rathee,India,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,20
Shivam Singh,India,26,All-rounder,RHB,RIGHT ARM Off Spin,Uncapped,20
Vidhwath Kaverappa,India,24,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Jitesh Sharma,India,29,Wicketkeeper,RHB,-,Uncapped,
Baltej Singh,India,32,Bowler,RHB,RIGHT ARM Medium,Uncapped,
Sanju Samson,India,28,Wicketkeeper,RHB,-,Capped,
Prasidh Krishna,India,26,Bowler,RHB,RIGHT ARM Fast,Capped,
Jos Buttler,England,32,Wicketkeeper,RHB,-,Capped,
Shimron Hetmyer,West Indies,25,Batsman,LHB,-,Capped,
Trent Boult,New Zealand,33,Bowler,RHB,LEFT ARM Fast,Capped,
Devdutt Padikkal,India,22,Batsman,LHB,-,Capped,
Yuzvendra Chahal,India,32,Bowler,RHB,RIGHT ARM Leg Spin,Capped,
Jason Holder,West Indies,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,200
Ravichandran Ashwin,India,36,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Yashasvi Jaiswal,India,21,Batsman,LHB,-,Uncapped,
Riyan Parag,India,21,All-rounder,RHB,RIGHT ARM Leg Spin,Uncapped,
Navdeep Saini,India,30,Bowler,RHB,RIGHT ARM Fast,Capped,
Adam Zampa,Australia,30,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,150
Joe Root,England,32,BATSMAN,RHB,RIGHT ARM Off Spin,Capped,100
Obed McCoy,West Indies,25,Bowler,LHB,LEFT ARM Fast Medium,Capped,
D Ferreira,South Africa,24,WICKETKEEPER,RHB,-,Uncapped,20
KM Asif,India,29,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30
KC Cariappa,India,28,Bowler,RHB,RIGHT ARM Leg Spin,Uncapped,
Kuldeep Sen,India,26,Bowler,RHB,RIGHT ARM Fast,Uncapped,
Dhruv Jurel,India,21,Wicketkeeper,RHB,-,Uncapped,
Kunal Singh Rathore,India,20,WICKETKEEPER,LHB,-,Uncapped,20
Abdul Basith,India,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,20
Akash Vasisht,India,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,20
Murugan Ashwin,India,32,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,20
Kuldip Yadav,India,26,Bowler,RHB,LEFT ARM Fast Medium,Uncapped,
Virat Kohli,India,34,Batsman,RHB,-,Capped,
Glenn Maxwell,Australia,34,All-rounder,RHB,RIGHT ARM Off Spin,Capped,
Harshal Patel,India,32,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Wanindu Hasaranga,Sri Lanka,25,All-rounder,RHB,RIGHT ARM Leg Spin,Capped,
Josh Hazlewood,Australia,31,Bowler,LHB,RIGHT ARM Fast Medium,Capped,
Faf du Plessis,South Africa,38,Batsman,RHB,-,Capped,
Mohammed Siraj,India,28,Bowler,RHB,RIGHT ARM Fast,Capped,
Dinesh Karthik,India,37,Wicketkeeper,RHB,-,Capped,
Anuj Rawat,India,23,Wicketkeeper,LHB,-,Uncapped,
Will Jacks,England,24,BATSMAN,RHB,RIGHT ARM Off Spin,Capped,150
