,Player Name,Team,Year,Price,Replacement,Retained,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
72,Rahul Buddhi,MI,2022,0.2,No,No,India,24,Batsman,LHB,Right Arm Leg Spin,Uncapped,0.2
73,Hrithik Shokeen,MI,2022,0.2,No,No,India,21,All-Rounder,RHB,Right Arm Off Spin,Uncapped,0.2
74,KL Rahul,LSG,2022,17.0,No,Yes,India,29,Wicketkeeper,RHB,-,Capped,
75,Avesh Khan,LSG,2022,10.0,No,No,India,25,Bowler,RHB,Right Arm Fast,Uncapped,0.2
76,Marcus Stoinis,LSG,2022,9.2,No,Yes,Australia,32,All-Rounder,RHB,Right Arm Medium,Capped,
77,Jason Holder,LSG,2022,8.75,No,No,West Indies,30,All-Rounder,RHB,Right Arm Fast,Capped,1.5
78,Krunal Pandya,LSG,2022,8.25,No,No,India,31,All-Rounder,LHB,Left Arm Slow Orthodox,Capped,2.0
79,Mark Wood,LSG,2022,7.5,No,No,England,32,Bowler,RHB,Right Arm Fast,Capped,2.0
80,Quinton de Kock,LSG,2022,6.75,No,No,South Africa,29,Wicketkeeper,LHB,-,Capped,2.0
81,Deepak Hooda,LSG,2022,5.75,No,No,India,26,All-Rounder,RHB,Right Arm Off Spin,Uncapped,0.4
82,Manish Pandey,LSG,2022,4.6,No,No,India,32,Batsman,RHB,Right Arm Off Spin,Capped,1.0
83,Ravi Bishnoi,LSG,2022,4.0,No,Yes,India,21,Bowler,RHB,Right Arm Leg Spin,Uncapped,
84,Evin Lewis,LSG,2022,2.0,No,No,West Indies,30,Batsman,LHB,-,Capped,2.0
85,Dushmantha Chameera,LSG,2022,2.0,No,No,Sri Lanka,30,Bowler,RHB,Right Arm Fast,Capped,0.5
86,Krishnappa Gowtham,LSG,2022,0.9,No,No,India,33,All-Rounder,RHB,Right Arm Off Spin,Capped,0.5
87,Kyle Mayers,LSG,2022,0.5,No,No,West Indies,29,All-Rounder,LHB,Right Arm Fast Medium,Capped,0.5
88,Shahbaz Nadeem,LSG,2022,0.5,No,No,India,32,Bowler,RHB,Left Arm Slow Orthodox,Capped,0.5
89,Ankit Rajpoot,LSG,2022,0.5,No,No,India,28,Bowler,RHB,Right Arm Fast Medium,Uncapped,0.2
90,Mohsin Khan,LSG,2022,0.2,No,No,India,23,Bowler,LHB,Left Arm Fast Medium,Uncapped,0.2
91,Ayush Badoni,LSG,2022,0.2,No,No,India,22,All-Rounder,RHB,Right Arm Off Spin,Uncapped,0.2
92,Karan Sharma,LSG,2022,0.2,No,No,India,23,All-Rounder,RHB,Right Arm Off Spin,Uncapped,0.2
93,Mayank Yadav,LSG,2022,0.2,No,No,India,19,Bowler,RHB,Right Arm Fast Medium,Uncapped,0.2
94,Manan Vohra,LSG,2022,0.2,No,No,India,28,Batsman,RHB,-,Uncapped,0.2
95,Rashid Khan,GT,2022,15.0,No,Yes,Afghanistan,23,Bowler,RHB,Right Arm Leg Spin,Capped,
96,Hardik Pandya,GT,2022,15.0,No,Yes,India,28,All-Rounder,RHB,Right Arm Fast Medium,Capped,
97,Lockie Ferguson,GT,2022,10.0,No,No,New Zealand,30,Bowler,RHB,Right Arm Fast,Capped,2.0
98,Rahul Tewatia,GT,2022,9.0,No,No,India,28,All-Rounder,LHB,Right Arm Leg Spin,Uncapped,0.4
99,Shubman Gill,GT,2022,8.0,No,Yes,India,22,Batsman,RHB,-,Capped,
100,Mohammed Shami,GT,2022,6.25,No,No,India,32,Bowler,RHB,Right Arm Fast,Capped,2.0
101,Yash Dayal,GT,2022,3.2,No,No,India,24,Bowler,RHB,Left Arm Fast,Uncapped,0.2
102,Sai Kishore,GT,2022,3.0,No,No,India,25,Bowler,LHB,Left Arm Slow Orthodox,Uncapped,0.2
103,David Miller,GT,2022,3.0,No,No,South Africa,32,Batsman,LHB,-,Capped,1.0
104,Abhinav Manohar,GT,2022,2.6,No,No,India,27,Batsman,RHB,Right Arm Leg Spin,Uncapped,0.2
